,Well,Time step,unloading,stable production,restriction on production line,towards stable production
398,W8,3770,0.0,0.0,1.0,0.0
399,W2,1537,0.0,0.0,0.0,1.0
400,W14,2773,0.0,1.0,0.0,0.0
401,W5,3720,0.0,1.0,0.0,0.0
402,W7,981,1.0,0.0,0.0,0.0
403,W5,946,1.0,0.0,0.0,0.0
404,W8,2539,0.0,0.0,1.0,0.0
405,W4,2123,0.0,0.0,1.0,0.0
406,W8,3486,0.0,0.0,1.0,0.0
407,W5,1022,1.0,0.0,0.0,0.0
408,W19,5094,0.0,1.0,0.0,0.0
409,W10,822,1.0,0.0,0.0,0.0
410,W4,2508,0.0,0.0,1.0,0.0
411,W7,2852,0.0,1.0,0.0,0.0
412,W8,6456,0.0,0.0,1.0,0.0
413,W2,1020,1.0,0.0,0.0,0.0
414,W19,2903,0.0,1.0,0.0,0.0
415,W8,1316,1.0,0.0,0.0,0.0
416,W4,2442,0.0,0.0,1.0,0.0
417,W11,407,1.0,0.0,0.0,0.0
418,W5,2838,0.0,1.0,0.0,0.0
419,W8,2892,0.0,0.0,1.0,0.0
420,W19,983,1.0,0.0,0.0,0.0
421,W7,521,1.0,0.0,0.0,0.0
422,W18,3190,0.0,1.0,0.0,0.0
423,W9,2495,0.0,1.0,0.0,0.0
424,W4,2467,0.0,0.0,1.0,0.0
425,W3,3716,0.0,1.0,0.0,0.0
426,W14,2699,0.0,1.0,0.0,0.0
427,W17,3208,0.0,1.0,0.0,0.0
428,W14,3694,0.0,1.0,0.0,0.0
429,W16,1840,0.0,1.0,0.0,0.0
430,W17,1349,0.0,0.0,0.0,1.0
431,W14,6418,0.0,1.0,0.0,0.0
432,W18,2272,0.0,1.0,0.0,0.0
433,W8,2676,0.0,0.0,1.0,0.0
434,W16,1637,0.0,1.0,0.0,0.0
435,W15,4369,0.0,1.0,0.0,0.0
436,W5,1384,0.0,0.0,0.0,1.0
437,W15,1294,1.0,0.0,0.0,0.0
438,W19,342,1.0,0.0,0.0,0.0
439,W8,1719,0.0,0.0,1.0,0.0
440,W9,1307,1.0,0.0,0.0,0.0
441,W8,5644,0.0,0.0,1.0,0.0
442,W15,4433,0.0,1.0,0.0,0.0
443,W13,1314,1.0,0.0,0.0,0.0
444,W20,1787,0.0,1.0,0.0,0.0
445,W2,2989,0.0,1.0,0.0,0.0
446,W13,1021,1.0,0.0,0.0,0.0
447,W12,408,1.0,0.0,0.0,0.0
448,W3,2753,0.0,1.0,0.0,0.0
449,W9,1379,0.0,0.0,0.0,1.0
450,W16,1427,0.0,0.0,0.0,1.0
451,W3,562,1.0,0.0,0.0,0.0
452,W8,2865,0.0,0.0,1.0,0.0
453,W16,571,1.0,0.0,0.0,0.0
454,W10,368,1.0,0.0,0.0,0.0
455,W19,3668,0.0,1.0,0.0,0.0
456,W17,1307,1.0,0.0,0.0,0.0
457,W15,3139,0.0,1.0,0.0,0.0
458,W16,2297,0.0,1.0,0.0,0.0
459,W10,797,1.0,0.0,0.0,0.0
460,W13,948,1.0,0.0,0.0,0.0
461,W2,3447,0.0,1.0,0.0,0.0
